index,total,blackbody_sum_1,blackbody_sum_2,comptonization,excess
0.00100088,0.007052,0.00380963,0.00689602,0.00315011,0.000256716
0.00100097,0.00705274,0.00381008,0.0068968,0.00315038,0.000256738
0.00103176,0.00731913,0.00397244,0.00718025,0.00324849,0.000264733
0.00103256,0.00732605,0.00397667,0.00718762,0.00325103,0.00026494
0.00111537,0.00805117,0.00442237,0.00796368,0.00351498,0.000286451
0.00116725,0.00851172,0.00470811,0.00845975,0.00373939,0.000299938
0.00123692,0.00913732,0.00504126,0.00913732,0.00404642,0.000318059
0.00124792,0.00921958,0.0050942,0.00921958,0.0040955,0.000320922
0.0012767,0.00943475,0.00519604,0.00943475,0.00422459,0.000328412
0.00133715,0.0098869,0.00540897,0.0098869,0.00449917,0.000344151
0.00134899,0.00999022,0.00545052,0.00999022,0.00455348,0.000347234
0.00138015,0.010263,0.00560713,0.010263,0.00469727,0.000355353
0.00142956,0.0106977,0.00585714,0.0106977,0.00492764,0.000370404
0.00144129,0.0108138,0.0059168,0.0108138,0.00498275,0.000373991
0.00147554,0.0111545,0.00609167,0.0111545,0.00507252,0.000384494
0.00157539,0.0121622,0.006607,0.0121622,0.00533142,0.000415363
0.00157752,0.0121839,0.00661809,0.0121839,0.00533992,0.000416025
0.00165242,0.0129539,0.00701002,0.0129539,0.00564021,0.000438934
0.00168426,0.0131433,0.00717795,0.0131433,0.00576863,0.000448722
0.00170542,0.0132686,0.00728993,0.0132686,0.00584195,0.000455241
0.00172366,0.0133763,0.00738675,0.0133763,0.00590517,0.000461809
0.00180616,0.0138603,0.00760908,0.0138603,0.00619126,0.00049182
0.00182074,0.0139736,0.007648,0.0139736,0.00624186,0.000497176
0.00182336,0.0139939,0.00765497,0.0139939,0.00625416,0.000498139
0.00188394,0.0144645,0.00781532,0.0144645,0.00654069,0.000517717
0.00194938,0.014973,0.00813645,0.014973,0.00685404,0.00053899
0.00195252,0.0149974,0.0081519,0.0149974,0.00686917,0.000540124
0.00201415,0.0155573,0.00845623,0.0155573,0.00716806,0.00056252
0.00208746,0.0162273,0.00872281,0.0162273,0.00752803,0.000589436
0.00212823,0.016548,0.00887055,0.016548,0.0077303,0.000604533
0.00217726,0.0169339,0.0090477,0.0169339,0.00784278,0.000622804
0.00225661,0.0175585,0.00938142,0.0175585,0.00802288,0.000652641
0.00232614,0.0182909,0.00967398,0.0182909,0.0081788,0.000679055
